3.本期减少金额,,,,"574,602.00","504,094.95","19,959.94","1,098,656.89"
（1）处置或报废,,,,"574,602.00","504,094.95","19,959.94","1,098,656.89"
（2）其他减少,,,,,,,
4.期末余额,"285,904,707.76","662,014,909.39","287,401,793.48","46,151,840.07","27,594,544.88","24,339,011.28","1,333,406,806.86"
二、累计折旧,,,,,,,
1.期初余额,"78,215,726.29","95,945,255.21","141,314,073.90","26,200,291.01","20,166,863.81","18,669,363.74","380,511,573.96"
2.本期增加金额,"7,458,932.83","27,648,125.76","15,799,673.08","3,107,632.53","1,951,168.72","1,217,274.12","57,182,807.04"
（1）计提,"7,458,932.83","27,648,125.76","15,799,673.08","3,107,632.53","1,951,168.72","1,217,274.12","57,182,807.04"
"（2）投资性房地
产转入",,,,,,,
（3）其他增加,,,,,,,
3.本期减少金额,,,,"574,602.00","384,195.39","15,003.01","973,800.40"
（1）处置或报废,,,,"574,602.00","384,195.39","15,003.01","973,800.40"
（2）其他减少,,,,,,,
4.期末余额,"85,674,659.12","123,593,380.97","157,113,746.98","28,733,321.54","21,733,837.14","19,871,634.85","436,720,580.60"
三、减值准备,,,,,,,
1.期初余额,"3,548,771.16","22,899,989.30",,,,,"26,448,760.46"
2.本期增加金额,"3,138,643.10",,,,,,"3,138,643.10"
（1）计提,"3,138,643.10",,,,,,"3,138,643.10"
3.本期减少金额,,,,,,,
（1）处置或报废,,,,,,,
4.期末余额,"6,687,414.26","22,899,989.30",,,,,"29,587,403.56"
四、账面价值,,,,,,,
1.期末账面价值,"193,542,634.38","515,521,539.12","130,288,046.50","17,418,518.53","5,860,707.74","4,467,376.43","867,098,822.70"
2.期初账面价值,"204,140,210.31","540,059,253.53","127,152,080.54","20,465,013.44","7,137,515.99","4,532,657.43","903,486,731.24"
