报告期内主营业务按产品分项分,,,,,,
产品分项,营业收入,营业成本,"毛利率
（%）","营业收
入比上
年增减
（%）","营业成
本比上
年增减
（%）","毛利率比上
年增减
（%）"
牛肉,"222,787,555.62","203,184,593.20",8.80,-5.16,-0.95,-3.88
羊肉,"19,922,279.71","16,074,909.71",19.31,42.31,54.90,-6.56
肉制品,"127,281,259.33","109,951,364.53",13.62,-22.92,-21.12,-1.97
乳制品,"109,103,064.36","96,212,947.98",11.81,57.13,54.38,1.57
速食品,"139,025,332.19","137,796,677.97",0.88,48.47,57.80,-5.86
益生菌粉,"5,682,760.37","2,845,451.27",49.93,8.20,0.74,3.71
小计,"623,802,251.58","566,065,944.66",9.26,7.11,11.57,-3.62
报告期内主营业务按销售模式分,,,,,,
销售模式,营业收入,营业成本,"毛利率
（%）","营业收
入比上
年增减
（%）","营业成
本比上
年增减
（%）","毛利率比上
年增减
（%）"
直销模式,"491,763,416.30","444,665,979.22",9.58,1.90,5.23,-2.86
分销模式,"132,038,835.28","121,399,965.44",8.06,32.32,43.14,-6.95
小计,"623,802,251.58","566,065,944.66",9.26,7.11,11.57,-3.62
报告期内主营业务按地区分部分,,,,,,
地区分部,营业收入,营业成本,"毛利率
（%）","营业收
入比上
年增减
（%）","营业成
本比上
年增减
（%）","毛利率比上
年增减
（%）"
北京地区,"464,135,986.28","421,620,624.35",9.16,13.22,16.95,-2.89
