负债合计,,"435,370,498.15","419,217,955.22"
所有者权益（或股东权益）：,,,
实收资本（或股本）,七、53,"818,700,955.00","818,700,955.00"
其他权益工具,七、54,,
其中：优先股,,,
永续债,,,
资本公积,七、55,"297,670,902.07","297,670,902.07"
减：库存股,七、56,,
其他综合收益,七、57,,
专项储备,七、58,,
盈余公积,七、59,"175,588,385.33","163,740,934.73"
一般风险准备,,,
未分配利润,七、60,"886,726,089.63","872,723,896.78"
"归属于母公司所有者权益
（或股东权益）合计",,"2,178,686,332.03","2,152,836,688.58"
少数股东权益,,"30,497,265.23","28,992,205.88"
"所有者权益（或股东权
益）合计",,"2,209,183,597.26","2,181,828,894.46"
"负债和所有者权益
（或股东权益）总计",,"2,644,554,095.41","2,601,046,849.68"
