应付账款,三河市晟良门窗生产安装有限公司,,"10,678.00"
应付账款,三河市和鑫汽车销售有限公司,"1,700.00","1,700.00"
应付账款,三河市易创广告有限公司,"1,090.00",649.06
应付账款,三河市友邻网络科技有限公司,"2,685.83","8,344.93"
应付账款,三河市隆泰物流有限公司,212.39,"22,360.00"
应付账款,三河市瑞隆肉牛养殖有限公司,,"1,000,000.00"
应付账款,三河市和胜汽车服务有限公司,"5,470.00",
应付账款,三河市金天地生态农业专业合作社,"3,419.35",
应付账款,三河钰麦面粉加工有限公司,"290,406.40",
应付账款,兴隆县福成水泥有限公司,"312,120.00",
预收账款,三河市友邻网络科技有限公司,756.00,
其他应付款,福成国际大酒店有限公司,"254,350.00","254,350.00"
其他应付款,福成投资集团有限公司,"41,700,000.00","41,700,000.00"
其他应付款,三河市和鑫汽车销售有限公司,"30,432.19","27,571.11"
其他应付款,三河市隆盛物业服务有限公司,"294,973.83","294,973.83"
其他应付款,三河市一福一城物业服务有限公司,,"1,068.00"
其他应付款,三河市福成一福一城俱乐部有限公司,,"41,300.00"
其他应付款,三河市晟良门窗生产安装有限公司,,"2,987.00"
其他应付款,李高生,,"300,000.00"
