主营业务分行业情况,,,,,,
分行业,营业收入,营业成本,"毛利率
（%）","营业收
入比上
年增减
（%）","营业成本
比上年增
减（%）","毛利率比
上年增减
（%）"
畜牧业,"158,195,120.00","160,141,310.06",-1.23,60.07,65.48,-3.31
食品加工业,"623,802,251.58","566,065,944.66",9.26,7.11,11.57,-3.62
餐饮业,"119,247,258.31","51,054,338.97",57.19,-18.24,-18.04,-0.11
殡葬行业,"146,320,167.30","36,690,722.49",74.92,49.04,73.95,-3.59
生态农业,"80,016,765.60","67,350,456.84",15.83,41.01,38.58,1.48
合计,"1,127,581,562.79","881,302,773.02",21.84,14.83,19.72,-3.20
主营业务分产品情况,,,,,,
分产品,营业收入,营业成本,"毛利率
（%）","营业收
入比上
年增减
（%）","营业成本
比上年增
减（%）","毛利率比
上年增减
（%）"
畜牧产品,"158,195,120.00","160,141,310.06",-1.23,60.07,65.48,-3.31
牛肉,"222,787,555.62","203,184,593.20",8.80,-5.16,-0.95,-3.88
羊肉,"19,922,279.71","16,074,909.71",19.31,42.31,54.90,-6.56
肉制品,"127,281,259.33","109,951,364.53",13.62,-22.92,-21.12,-1.97
乳制品,"109,103,064.36","96,212,947.98",11.81,57.13,54.38,1.57
速食品,"139,025,332.19","137,796,677.97",0.88,48.47,57.80,-5.86
益生菌粉,"5,682,760.37","2,845,451.27",49.93,8.20,0.74,3.71
餐饮服务,"119,247,258.31","51,054,338.97",57.19,-18.24,-18.04,-0.11
"墓位销管、
殡葬服务","146,320,167.30","36,690,722.49",74.92,49.04,73.95,-3.59
生态农业,"80,016,765.60","67,350,456.84",15.83,41.01,38.58,1.48
合计,"1,127,581,562.79","881,302,773.02",21.84,14.83,19.72,-3.20
主营业务分地区情况,,,,,,
分地区,营业收入,营业成本,"毛利率
（%）","营业收
入比上
年增减
（%）","营业成本
比上年增
减（%）","毛利率比
上年增减
（%）"
北京地区,"608,146,584.71","463,028,332.55",23.86,15.41,16.85,-0.94
华北地区,"371,199,581.36","294,009,581.65",20.79,13.11,35.09,-12.89
东北地区,"12,477,571.13","14,538,246.22",-16.52,86.72,261.26,-56.29
华东地区,"88,321,300.96","70,099,137.22",20.63,92.83,65.82,12.93
华南地区,"33,185,619.68","28,495,063.89",14.13,-47.35,-57.34,20.11
其他地区,"14,250,904.95","11,132,411.49",21.88,25.50,21.95,2.27
合计,"1,127,581,562.79","881,302,773.02",21.84,14.83,19.72,-3.20
主营业务分销售模式情况,,,,,,
销售模式,营业收入,营业成本,"毛利率
（%）","营业收
入比上
年增减
（%）","营业成本
比上年增
减（%）","毛利率比
上年增减
（%）"
直销模式,"995,542,727.51","759,902,807.58",23.67,12.85,16.67,-2.50
分销模式,"132,038,835.28","121,399,965.44",8.06,32.32,43.14,-6.95
