其中：数据资源,,,
开发支出,,,
其中：数据资源,,,
商誉,七、27,,
长期待摊费用,七、28,"203,795,493.08","200,736,792.70"
递延所得税资产,七、29,"5,692,007.93","6,516,775.42"
其他非流动资产,七、30,"300,000.00","59,076,246.84"
非流动资产合计,,"1,268,570,802.34","1,434,967,091.91"
资产总计,,"2,644,554,095.41","2,601,046,849.68"
流动负债：,,,
短期借款,七、32,,"80,051,867.73"
向中央银行借款,,,
拆入资金,,,
交易性金融负债,七、33,,
衍生金融负债,七、34,,
应付票据,七、35,,
应付账款,七、36,"96,378,136.70","68,888,919.63"
预收款项,七、37,"27,891,554.89","28,418,499.32"
合同负债,七、38,"4,679,624.36","4,904,370.09"
卖出回购金融资产款,,,
吸收存款及同业存放,,,
代理买卖证券款,,,
代理承销证券款,,,
应付职工薪酬,七、39,"21,471,394.64","24,998,365.15"
应交税费,七、40,"9,709,626.08","7,175,971.56"
其他应付款,七、41,"100,603,191.41","124,325,623.05"
其中：应付利息,,,
应付股利,,"87,001.45","87,001.45"
应付手续费及佣金,,,
应付分保账款,,,
持有待售负债,七、42,,
一年内到期的非流动负债,七、43,"7,094,372.74","6,322,262.44"
其他流动负债,七、44,"1,020,158.94","1,366,227.31"
流动负债合计,,"268,848,059.76","346,452,106.28"
非流动负债：,,,
保险合同准备金,,,
长期借款,七、45,"99,800,000.00",
应付债券,七、46,,
其中：优先股,,,
永续债,,,
租赁负债,七、47,"22,637,555.05","31,743,498.74"
长期应付款,七、48,,
长期应付职工薪酬,七、49,,
预计负债,七、50,"12,975,309.10","13,050,408.41"
递延收益,七、51,"26,464,552.70","22,524,973.72"
递延所得税负债,七、29,"4,645,021.54","5,446,968.07"
其他非流动负债,七、52,,
非流动负债合计,,"166,522,438.39","72,765,848.94"
